dirname,cues,chosen,choices_1,choices_2,choices_3,choices_4
210428_125912_Buster,27,NaN,27,29,32,60
210428_125912_Buster,18,NaN,18,33,34,52
210428_125912_Buster,11,11,11,17,53,54
210428_125912_Buster,10,10,10,23,25,43
210428_125912_Buster,40,18,18,26,29,40
210428_125912_Buster,35,35,17,25,33,35
210428_125912_Buster,58,58,18,39,56,58
210428_125912_Buster,54,NaN,1,9,50,54
210428_125912_Buster,59,59,32,41,54,59
210428_125912_Buster,53,53,11,13,14,53
210428_125912_Buster,28,4,4,28,35,44
210428_125912_Buster,60,60,7,41,42,60
210428_125912_Buster,9,7,7,9,14,53
210428_125912_Buster,56,56,2,48,56,60
210428_125912_Buster,6,NaN,6,7,12,56
210428_125912_Buster,12,12,4,12,17,45
210428_125912_Buster,63,63,28,33,57,63
210428_125912_Buster,7,NaN,7,22,25,45
210428_125912_Buster,46,46,3,10,36,46
210428_125912_Buster,8,57,7,8,41,57
210428_125912_Buster,2,2,2,17,18,24
210428_125912_Buster,26,NaN,26,27,54,60
210428_125912_Buster,20,20,5,20,48,59
210428_125912_Buster,16,18,8,16,18,41
210428_125912_Buster,32,32,31,32,58,61
210428_125912_Buster,17,17,17,36,44,62
210428_125912_Buster,5,5,5,22,34,55
210428_125912_Buster,18,18,5,18,25,58
210428_125912_Buster,62,NaN,36,50,52,62
210428_125912_Buster,61,NaN,10,25,58,61
210428_125912_Buster,38,NaN,34,38,48,53
210428_125912_Buster,41,41,1,18,41,55
210428_125912_Buster,37,NaN,22,30,37,64
210428_125912_Buster,3,3,3,25,41,53
210428_125912_Buster,4,4,4,44,56,57
210428_125912_Buster,25,25,5,25,38,50
210428_125912_Buster,45,45,17,20,42,45
210428_125912_Buster,34,46,1,12,34,46
210428_125912_Buster,55,53,5,23,53,55
210428_125912_Buster,24,24,13,17,24,62
210428_125912_Buster,22,NaN,16,22,23,36
210428_125912_Buster,51,34,4,34,51,53
210428_125912_Buster,42,NaN,29,42,54,62
210428_125912_Buster,36,NaN,7,19,36,60
210428_125912_Buster,27,27,2,27,38,63
210428_125912_Buster,39,NaN,20,37,39,41
210428_125912_Buster,21,26,6,12,21,26
210428_125912_Buster,43,NaN,24,33,43,49
210428_125912_Buster,49,49,11,47,49,63
210428_125912_Buster,23,21,21,23,33,59
210428_125912_Buster,13,13,13,20,41,56
210428_125912_Buster,31,22,18,22,31,52
210428_125912_Buster,30,30,19,30,40,64
210428_125912_Buster,50,50,9,12,46,50
210428_125912_Buster,33,NaN,24,29,31,33
210428_125912_Buster,52,52,7,20,52,55
210428_125912_Buster,57,12,12,25,33,57
210428_125912_Buster,15,NaN,4,15,44,54
210428_125912_Buster,19,19,1,3,19,25
210428_125912_Buster,11,10,10,11,43,54
210428_125912_Buster,48,48,10,14,18,48
210428_125912_Buster,14,14,14,18,26,33
210428_125912_Buster,64,64,5,42,53,64
210428_125912_Buster,1,NaN,1,34,36,50
210428_125912_Buster,29,29,16,19,29,63
210428_125912_Buster,47,39,29,39,47,49
210428_125912_Buster,44,44,15,18,44,60
210428_125912_Buster,58,44,7,10,44,58
210428_125912_Buster,50,NaN,9,15,25,50
210428_125912_Buster,52,41,22,41,52,63
210428_125912_Buster,56,56,5,24,41,56
210428_125912_Buster,2,NaN,1,2,34,35
210428_125912_Buster,10,62,10,40,52,62
210428_125912_Buster,3,3,3,7,37,54
210428_125912_Buster,57,NaN,3,4,57,64
210428_125912_Buster,38,NaN,20,22,38,61
210428_125912_Buster,40,61,40,41,51,61
210428_125912_Buster,47,47,25,34,43,47
210428_125912_Buster,29,45,5,29,39,45
210428_125912_Buster,26,26,6,18,26,43
210428_125912_Buster,59,59,22,33,41,59
210428_125912_Buster,4,NaN,4,25,27,48
210428_125912_Buster,63,60,27,32,60,63
210428_125912_Buster,24,24,9,24,46,53
210428_125912_Buster,37,36,32,36,37,43
210428_125912_Buster,1,1,1,9,24,42
210428_125912_Buster,42,42,7,21,36,42
210428_125912_Buster,35,35,3,8,35,63
210428_125912_Buster,60,33,4,33,52,60
210428_125912_Buster,16,16,9,16,17,55
210428_125912_Buster,9,20,6,9,20,49
210428_125912_Buster,28,28,5,28,37,55
210428_125912_Buster,55,3,3,40,51,55
210428_125912_Buster,13,13,11,13,20,42
210428_125912_Buster,7,NaN,7,13,22,49
210428_125912_Buster,54,54,14,24,54,64
210428_125912_Buster,46,56,31,41,46,56
210428_125912_Buster,23,20,20,23,25,52
210428_125912_Buster,39,39,7,39,46,52
210428_125912_Buster,64,64,19,46,48,64
210428_125912_Buster,45,5,5,27,45,59
210428_125912_Buster,32,NaN,16,32,33,40
210428_125912_Buster,43,43,3,41,43,53
210428_125912_Buster,44,44,24,31,44,54
210428_125912_Buster,25,25,25,32,57,58
210428_125912_Buster,6,NaN,6,15,16,50
210428_125912_Buster,11,9,9,11,22,35
210428_125912_Buster,31,57,30,31,49,57
210428_125912_Buster,22,22,22,27,54,62
210428_125912_Buster,14,NaN,14,28,31,44
210428_125912_Buster,41,41,2,30,41,50
210428_125912_Buster,33,46,33,46,62,64
210428_125912_Buster,21,21,21,56,57,63
210428_125912_Buster,30,NaN,30,31,32,45
210428_125912_Buster,18,18,14,18,57,62
210428_125912_Buster,27,16,16,27,51,57
210428_125912_Buster,49,NaN,4,48,49,64
210428_125912_Buster,36,37,5,36,37,39
210428_125912_Buster,19,19,10,17,19,22
210428_125912_Buster,15,NaN,9,15,37,55
210428_125912_Buster,5,16,5,16,61,63
210428_125912_Buster,8,8,8,36,39,48
210428_125912_Buster,12,11,11,12,24,60
210428_125912_Buster,20,NaN,6,20,28,53
210428_125912_Buster,17,17,4,17,44,51
210428_125912_Buster,51,51,36,51,53,57
210428_125912_Buster,62,62,26,33,45,62
210428_125912_Buster,53,NaN,21,22,23,53
210428_125912_Buster,48,55,27,36,48,55
210428_125912_Buster,34,34,2,34,41,46
210428_125912_Buster,61,61,20,39,48,61
210428_125912_Buster,12,54,3,12,54,60
210428_125912_Buster,47,47,1,3,16,47
210428_125912_Buster,33,33,10,33,34,53
210428_125912_Buster,26,51,9,26,39,51
210428_125912_Buster,55,53,5,6,53,55
210428_125912_Buster,28,28,3,17,28,43
210428_125912_Buster,2,60,2,6,23,60
210428_125912_Buster,23,29,14,23,29,59
210428_125912_Buster,32,32,21,32,34,36
210428_125912_Buster,14,14,14,40,47,64
210428_125912_Buster,36,34,33,34,35,36
210428_125912_Buster,54,NaN,13,32,46,54
210428_125912_Buster,42,NaN,15,20,23,42
210428_125912_Buster,31,31,18,24,31,57
210428_125912_Buster,43,43,3,18,43,55
210428_125912_Buster,56,NaN,5,17,52,56
210428_125912_Buster,1,1,1,6,24,30
210428_125912_Buster,46,46,8,46,49,64
210428_125912_Buster,49,42,37,40,42,49
210428_125912_Buster,35,NaN,14,28,35,40
210428_125912_Buster,4,4,4,18,41,52
210428_125912_Buster,59,59,41,42,43,59
210428_125912_Buster,51,51,7,34,40,51
210428_125912_Buster,38,NaN,2,38,47,59
210428_125912_Buster,19,12,12,19,50,61
210428_125912_Buster,34,29,6,29,34,42
210428_125912_Buster,48,NaN,3,41,47,48
210428_125912_Buster,10,7,7,9,10,48
210428_125912_Buster,24,24,11,24,26,56
210428_125912_Buster,22,NaN,15,22,50,56
210428_125912_Buster,40,NaN,27,36,40,45
210428_125912_Buster,7,1,1,7,26,56
210428_125912_Buster,57,57,6,8,43,57
210428_125912_Buster,15,64,10,15,42,64
210428_125912_Buster,64,64,16,18,44,64
210428_125912_Buster,3,NaN,3,29,46,53
210428_125912_Buster,8,12,8,12,25,51
210428_125912_Buster,6,NaN,6,8,17,51
210428_125912_Buster,50,NaN,3,4,17,50
210428_125912_Buster,20,20,16,20,23,57
210428_125912_Buster,5,NaN,5,13,18,35
210428_125912_Buster,52,50,13,39,50,52
210428_125912_Buster,37,NaN,37,53,55,57
210428_125912_Buster,11,11,11,21,23,26
210428_125912_Buster,61,NaN,25,30,35,61
210428_125912_Buster,17,17,17,50,52,56
210428_125912_Buster,39,NaN,26,39,55,59
210428_125912_Buster,60,3,3,30,58,60
210428_125912_Buster,18,18,12,18,39,46
210428_125912_Buster,9,9,9,21,38,49
210428_125912_Buster,62,62,24,38,42,62
210428_125912_Buster,58,58,11,12,13,58
210428_125912_Buster,25,25,24,25,26,29
210428_125912_Buster,30,25,25,28,29,30
210428_125912_Buster,27,40,11,27,40,63
210428_125912_Buster,41,43,14,41,43,59
210428_125912_Buster,29,29,8,29,38,46
210428_125912_Buster,44,44,8,32,33,44
210428_125912_Buster,45,45,18,31,38,45
210428_125912_Buster,13,NaN,6,8,13,22
210428_125912_Buster,63,63,13,36,49,63
210428_125912_Buster,21,21,21,35,50,52
210428_125912_Buster,16,16,6,7,16,47
210428_125912_Buster,53,50,33,50,53,57
210428_125912_Buster,51,NaN,20,37,41,51
210428_125912_Buster,15,11,11,15,30,37
210428_125912_Buster,5,59,5,43,55,59
210428_125912_Buster,16,60,13,16,33,60
210428_125912_Buster,30,60,30,38,59,60
210428_125912_Buster,23,NaN,1,23,40,61
210428_125912_Buster,24,24,24,38,49,63
210428_125912_Buster,36,36,15,36,43,53
210428_125912_Buster,4,NaN,4,34,35,49
210428_125912_Buster,61,NaN,5,34,38,61
210428_125912_Buster,42,42,7,27,42,57
210428_125912_Buster,47,47,5,12,22,47
210428_125912_Buster,45,45,9,21,27,45
210428_125912_Buster,31,31,14,27,31,53
210428_125912_Buster,62,NaN,14,28,44,62
210428_125912_Buster,58,58,22,54,58,62
210428_125912_Buster,50,NaN,18,19,50,54
210428_125912_Buster,6,57,6,34,45,57
210428_125912_Buster,39,40,25,39,40,58
210428_125912_Buster,59,44,5,44,57,59
210428_125912_Buster,52,38,14,38,52,54
210428_125912_Buster,54,54,2,7,10,54
210428_125912_Buster,25,28,25,28,40,62
210428_125912_Buster,43,43,14,17,20,43
210428_125912_Buster,18,17,5,17,18,24
210428_125912_Buster,35,35,10,32,35,41
210428_125912_Buster,20,44,5,9,20,44
210428_125912_Buster,64,64,15,35,51,64
210428_125912_Buster,63,63,2,8,40,63
210428_125912_Buster,37,55,37,42,47,55
210428_125912_Buster,48,48,6,21,43,48
210428_125912_Buster,53,53,1,2,17,53
210428_125912_Buster,29,29,5,29,34,51
210428_125912_Buster,38,35,34,35,38,56
210428_125912_Buster,32,NaN,10,14,23,32
210428_125912_Buster,46,NaN,21,34,40,46
210428_125912_Buster,21,NaN,21,27,43,61
210428_125912_Buster,49,49,15,49,58,61
210428_125912_Buster,9,9,1,9,12,39
210428_125912_Buster,12,12,3,12,58,62
210428_125912_Buster,17,17,10,12,17,49
210428_125912_Buster,19,30,19,30,37,61
210428_125912_Buster,40,40,11,24,40,56
210428_125912_Buster,7,7,6,7,11,63
210428_125912_Buster,22,22,22,37,48,51
210428_125912_Buster,10,10,10,49,50,51
210428_125912_Buster,2,54,2,9,49,54
210428_125912_Buster,34,59,25,34,37,59
210428_125912_Buster,1,1,1,7,19,59
210428_125912_Buster,57,57,13,31,45,57
210428_125912_Buster,3,3,3,24,53,63
210428_125912_Buster,56,NaN,17,41,55,56
210428_125912_Buster,13,13,13,19,50,56
210428_125912_Buster,8,NaN,8,18,40,60
210428_125912_Buster,14,14,14,30,55,56
210428_125912_Buster,11,11,11,13,41,53
210428_125912_Buster,60,64,18,22,60,64
210428_125912_Buster,28,55,28,55,60,61
210428_125912_Buster,26,63,11,26,29,63
210428_125912_Buster,27,37,9,20,27,37
210428_125912_Buster,44,6,6,23,44,51
210428_125912_Buster,33,41,13,20,33,41
210428_125912_Buster,55,7,7,8,34,55
210428_125912_Buster,41,41,2,32,41,55
210428_125912_Buster,38,41,7,18,38,41
210428_125912_Buster,14,NaN,14,24,27,60
210428_125912_Buster,35,35,21,35,50,51
210428_125912_Buster,60,NaN,19,50,53,60
210428_125912_Buster,52,52,14,16,17,52
210428_125912_Buster,27,27,2,3,10,27
210428_125912_Buster,43,NaN,12,28,31,43
210428_125912_Buster,49,54,36,37,49,54
210428_125912_Buster,24,17,4,17,24,46
210428_125912_Buster,8,8,8,17,40,57
210428_125912_Buster,31,31,9,29,31,56
210428_125912_Buster,3,10,3,10,11,59
210428_125912_Buster,22,22,1,22,38,63
210428_125912_Buster,50,37,17,21,37,50
210428_125912_Buster,32,39,10,32,39,57
210428_125912_Buster,58,58,33,39,49,58
210428_125912_Buster,12,5,5,12,13,39
210428_125912_Buster,4,4,4,22,31,55
210428_125912_Buster,7,NaN,7,27,61,64
210428_125912_Buster,5,10,5,10,19,23
210428_125912_Buster,57,55,21,48,55,57
210428_125912_Buster,1,56,1,33,36,56
210428_125912_Buster,40,39,29,39,40,41
210428_125912_Buster,34,57,34,40,49,57
210428_125912_Buster,64,58,12,56,58,64
210428_125912_Buster,41,45,41,44,45,53
210428_125912_Buster,42,42,9,21,23,42
210428_125912_Buster,28,45,28,45,60,62
210428_125912_Buster,19,19,19,21,40,53
210428_125912_Buster,23,23,23,33,42,59
210428_125912_Buster,54,54,24,26,35,54
210428_125912_Buster,63,63,2,31,54,63
210428_125912_Buster,56,29,7,9,29,56
210428_125912_Buster,9,9,9,47,51,62
210428_125912_Buster,51,57,13,40,51,57
210428_125912_Buster,18,18,15,18,49,61
210428_125912_Buster,11,64,11,18,39,64
210428_125912_Buster,33,27,2,10,27,33
210428_125912_Buster,46,46,2,3,6,46
210428_125912_Buster,13,10,10,13,40,45
210428_125912_Buster,25,24,24,25,44,51
210428_125912_Buster,59,59,16,29,50,59
210428_125912_Buster,21,21,2,21,31,32
210428_125912_Buster,47,63,26,41,47,63
210428_125912_Buster,2,2,2,8,41,53
210428_125912_Buster,17,17,6,17,30,48
210428_125912_Buster,61,NaN,13,43,49,61
210428_125912_Buster,16,13,13,14,15,16
210428_125912_Buster,36,36,16,18,36,64
210428_125912_Buster,39,39,5,18,39,62
210428_125912_Buster,53,49,18,24,49,53
210428_125912_Buster,62,62,29,33,40,62
210428_125912_Buster,26,26,2,12,22,26
210428_125912_Buster,29,29,8,13,29,33
210428_125912_Buster,30,30,1,18,30,59
210428_125912_Buster,44,44,2,44,52,61
210428_125912_Buster,55,55,9,33,43,55
210428_125912_Buster,20,20,11,20,60,64
210428_125912_Buster,10,10,4,10,42,57
210428_125912_Buster,6,6,6,56,61,62
210428_125912_Buster,48,NaN,13,17,18,48
210428_125912_Buster,37,NaN,3,37,60,63
210428_125912_Buster,15,1,1,3,10,15
210428_125912_Buster,45,44,17,32,44,45
210428_125912_Buster,63,NaN,14,49,50,63
210428_125912_Buster,50,NaN,11,41,50,58
210428_125912_Buster,56,NaN,4,11,38,56
210428_125912_Buster,5,5,5,21,30,49
210428_125912_Buster,31,31,2,6,30,31
210428_125912_Buster,2,46,1,2,46,56
210428_125912_Buster,3,3,3,17,34,48
210428_125912_Buster,32,38,12,32,34,38
210428_125912_Buster,45,45,20,25,40,45
210428_125912_Buster,64,3,2,3,58,64
210428_125912_Buster,14,14,1,14,32,56
210428_125912_Buster,38,45,8,38,45,57
210428_125912_Buster,39,NaN,39,42,59,63
210428_125912_Buster,23,27,7,15,23,27
210428_125912_Buster,28,28,14,27,28,51
210428_125912_Buster,10,29,10,11,14,29
210428_125912_Buster,19,NaN,5,17,19,47
210428_125912_Buster,16,20,5,16,20,46
210428_125912_Buster,30,60,23,30,42,60
210428_125912_Buster,62,62,3,33,43,62
210428_125912_Buster,27,27,1,27,39,59
210428_125912_Buster,53,NaN,19,20,48,53
210428_125912_Buster,35,39,4,35,39,40
210428_125912_Buster,21,21,20,21,33,34
210428_125912_Buster,11,NaN,11,41,48,51
210428_125912_Buster,44,59,24,39,44,59
210428_125912_Buster,24,14,3,14,24,33
210428_125912_Buster,57,4,4,36,57,60
210428_125912_Buster,34,4,4,34,43,47
210428_125912_Buster,22,22,3,22,50,56
210428_125912_Buster,61,36,36,54,59,61
210428_125912_Buster,6,6,6,30,37,44
210428_125912_Buster,18,18,9,18,31,33
210428_125912_Buster,17,24,7,17,24,40
210428_125912_Buster,13,13,13,26,28,51
210428_125912_Buster,59,59,29,43,44,59
210428_125912_Buster,43,53,41,43,53,59
210428_125912_Buster,49,53,44,49,53,61
210428_125912_Buster,37,37,30,37,60,61
210428_125912_Buster,41,38,34,38,40,41
210428_125912_Buster,46,46,16,30,46,59
210428_125912_Buster,54,50,2,50,54,58
210428_125912_Buster,26,NaN,26,37,50,61
210428_125912_Buster,25,33,10,25,33,63
210428_125912_Buster,58,58,54,58,60,62
210428_125912_Buster,42,NaN,24,38,42,56
210428_125912_Buster,47,47,21,29,39,47
210428_125912_Buster,55,55,25,55,57,64
210428_125912_Buster,51,51,16,29,51,58
210428_125912_Buster,33,NaN,11,14,33,57
210428_125912_Buster,29,45,7,26,29,45
210428_125912_Buster,40,40,17,21,40,47
210428_125912_Buster,12,NaN,7,12,29,64
210428_125912_Buster,36,NaN,7,35,36,44
210428_125912_Buster,15,NaN,5,15,35,44
210428_125912_Buster,60,60,3,27,42,60
210428_125912_Buster,20,20,20,26,46,60
210428_125912_Buster,7,7,6,7,50,61
210428_125912_Buster,4,4,4,19,31,53
210428_125912_Buster,9,9,9,12,22,53
210428_125912_Buster,48,48,42,46,48,50
210428_125912_Buster,1,7,1,7,23,43
210428_125912_Buster,52,52,6,17,25,52
210428_125912_Buster,8,52,8,25,29,52
210428_125912_Buster,20,20,7,20,44,49
210428_125912_Buster,46,NaN,1,28,41,46
210428_125912_Buster,26,26,9,15,20,26
210428_125912_Buster,8,29,7,8,29,64
210428_125912_Buster,43,41,30,41,42,43
210428_125912_Buster,14,14,14,35,40,46
210428_125912_Buster,41,9,9,19,41,43
210428_125912_Buster,35,35,7,35,38,53
210428_125912_Buster,51,NaN,3,25,51,60
210428_125912_Buster,58,58,33,45,58,64
210428_125912_Buster,21,21,2,6,21,62
210428_125912_Buster,23,23,23,28,63,64
210428_125912_Buster,30,24,24,30,39,42
210428_125912_Buster,22,26,10,22,26,63
210428_125912_Buster,42,NaN,6,27,42,61
210428_125912_Buster,28,NaN,16,28,40,49
210428_125912_Buster,5,5,5,21,40,56
210428_125912_Buster,18,NaN,5,15,18,45
210428_125912_Buster,62,2,2,41,43,62
210428_125912_Buster,36,2,2,36,50,58
210428_125912_Buster,37,37,5,20,37,60
210428_125912_Buster,53,53,14,53,54,58
210428_125912_Buster,38,NaN,2,10,38,63
210428_125912_Buster,4,NaN,4,23,33,55
210428_125912_Buster,10,10,10,35,45,46
210428_125912_Buster,25,14,14,25,28,64
210428_125912_Buster,59,59,24,43,45,59
210428_125912_Buster,54,54,40,53,54,60
210428_125912_Buster,40,NaN,17,21,40,45
210428_125912_Buster,2,16,2,16,35,64
210428_125912_Buster,31,64,31,45,60,64
210428_125912_Buster,63,63,7,10,33,63
210428_125912_Buster,52,52,11,19,31,52
210428_125912_Buster,6,NaN,6,15,56,64
210428_125912_Buster,9,53,9,10,53,58
210428_125912_Buster,55,55,8,37,49,55
210428_125912_Buster,32,50,32,48,50,56
210428_125912_Buster,39,54,24,32,39,54
210428_125912_Buster,45,45,6,8,13,45
210428_125912_Buster,15,7,7,15,17,29
210428_125912_Buster,16,16,16,17,30,64
210428_125912_Buster,47,47,22,47,55,57
210428_125912_Buster,61,NaN,26,36,55,61
210428_125912_Buster,29,29,24,29,38,45
210428_125912_Buster,12,NaN,12,23,48,50
210428_125912_Buster,64,12,12,25,40,64
210428_125912_Buster,24,24,14,24,38,61
210428_125912_Buster,13,13,5,13,37,47
210428_125912_Buster,11,NaN,2,11,27,41
210428_125912_Buster,34,38,2,34,38,40
210428_125912_Buster,19,20,19,20,39,56
210428_125912_Buster,57,58,48,56,57,58
210428_125912_Buster,33,34,33,34,42,50
210428_125912_Buster,3,57,3,23,24,57
210428_125912_Buster,27,27,24,27,39,51
210428_125912_Buster,49,49,21,22,41,49
210428_125912_Buster,44,44,4,9,26,44
210428_125912_Buster,60,NaN,22,35,52,60
210428_125912_Buster,50,50,10,31,50,59
210428_125912_Buster,7,60,7,23,45,60
210428_125912_Buster,56,55,43,54,55,56
210428_125912_Buster,1,1,1,49,52,61
210428_125912_Buster,48,57,5,42,48,57
210428_125912_Buster,17,7,7,17,21,24
210428_125912_Buster,59,59,13,57,59,62
210428_125912_Buster,47,51,22,42,47,51
210428_125912_Buster,18,NaN,12,18,48,54
210428_125912_Buster,7,7,1,7,26,29
210428_125912_Buster,37,NaN,20,30,37,63
210428_125912_Buster,56,56,15,30,34,56
210428_125912_Buster,41,41,10,26,41,63
210428_125912_Buster,62,NaN,3,11,30,62
210428_125912_Buster,27,27,23,27,50,58
210428_125912_Buster,8,20,8,20,24,48
210428_125912_Buster,40,NaN,4,8,40,48
210428_125912_Buster,3,3,3,27,32,38
210428_125912_Buster,31,31,20,23,27,31
210428_125912_Buster,38,38,9,10,38,50
210428_125912_Buster,58,30,6,7,30,58
210428_125912_Buster,6,6,6,11,33,42
210428_125912_Buster,17,NaN,17,32,34,45
210428_125912_Buster,16,19,12,16,19,35
210428_125912_Buster,25,25,11,25,44,55
210428_125912_Buster,46,46,8,46,52,55
210428_125912_Buster,35,35,14,18,35,56
210428_125912_Buster,20,54,20,31,54,62
210428_125912_Buster,10,10,10,22,52,56
210428_125912_Buster,23,23,19,23,59,63
210428_125912_Buster,5,18,5,18,42,57
210428_125912_Buster,51,48,36,40,48,51
210428_125912_Buster,14,14,14,35,36,38
210428_125912_Buster,1,12,1,7,12,57
210428_125912_Buster,21,12,12,21,23,43
210428_125912_Buster,49,49,37,39,49,55
210428_125912_Buster,24,24,3,7,24,36
210428_125912_Buster,13,14,9,13,14,24
210428_125912_Buster,52,52,11,28,45,52
210428_125912_Buster,15,16,4,15,16,26
210428_125912_Buster,57,56,28,56,57,61
210428_125912_Buster,53,50,6,38,50,53
210428_125912_Buster,44,44,4,22,44,63
210428_125912_Buster,42,42,5,10,27,42
210428_125912_Buster,54,NaN,23,36,52,54
210428_125912_Buster,61,NaN,21,39,53,61
210428_125912_Buster,32,41,30,32,41,62
210428_125912_Buster,29,38,24,29,38,55
210428_125912_Buster,33,38,24,33,38,48
210428_125912_Buster,9,8,1,8,9,26
210428_125912_Buster,22,22,8,22,24,46
210428_125912_Buster,11,11,1,11,23,33
210428_125912_Buster,60,NaN,10,15,32,60
210428_125912_Buster,39,39,2,3,25,39
